old_url,page_type,proposed_new_url,redirect_target,redirect_type,source_confidence,notes
/nl/,home,/,/,301,verified,Dutch is the default locale and has no prefix; English lives under /en.
/en/,home-en,/en/,/en/,301,verified,Dutch is the default locale and has no prefix; English lives under /en.
/nl/locaties,locatie-overzicht,/locaties,/locaties,301,verified,
/en/locaties,locatie-overzicht-en,/en/locaties,/en/locaties,301,verified,
/nl/alles-over-onze-parkeeroplossingen,content,/parkeeroplossingen,/parkeeroplossingen,301,verified,
/en/alles-over-onze-parkeeroplossingen,content-en,/en/parkeeroplossingen,/en/parkeeroplossingen,301,verified,
/nl/abonnementen,abonnementen,/abonnementen,/abonnementen,301,verified,
/en/abonnementen,abonnementen-en,/en/abonnementen,/en/abonnementen,301,verified,
/nl/abonnementen/aanvraag-abonnement,formulier,/abonnementen/aanvragen,/abonnementen/aanvragen,301,verified,
/en/abonnementen/aanvraag-abonnement,formulier-en,/en/abonnementen/aanvragen,/en/abonnementen/aanvragen,301,verified,
/nl/strippenkaarten,parkingpass,/parkingpass,/parkingpass,301,verified,"Live name ""strippenkaarten""; brand name is ParkingPass."
/en/strippenkaarten,parkingpass-en,/en/parkingpass,/en/parkingpass,301,verified,"Live name ""strippenkaarten""; brand name is ParkingPass."
/nl/zakelijk,zakelijk,/zakelijk,/zakelijk,301,verified,
/en/zakelijk,zakelijk-en,/en/zakelijk,/en/zakelijk,301,verified,
/nl/nieuws,nieuws-overzicht,/nieuws,/nieuws,301,verified,
/en/nieuws,nieuws-overzicht-en,/en/nieuws,/en/nieuws,301,verified,
/nl/over/parkingyou,over,/over-ons,/over-ons,301,verified,
/en/over/parkingyou,over-en,/en/over-ons,/en/over-ons,301,verified,
/nl/over/contact,contact,/contact,/contact,301,verified,
/en/over/contact,contact-en,/en/contact,/en/contact,301,verified,
/nl/over/nieuwsbriefabonnement,nieuwsbrief,/nieuwsbrief,/nieuwsbrief,301,verified,
/en/over/nieuwsbriefabonnement,nieuwsbrief-en,/en/nieuwsbrief,/en/nieuwsbrief,301,verified,
/nl/algemene-voorwaarden,juridisch,/algemene-voorwaarden,/algemene-voorwaarden,301,verified,
/en/algemene-voorwaarden,juridisch-en,/en/algemene-voorwaarden,/en/algemene-voorwaarden,301,verified,
/nl/news/nieuws,nieuws-overzicht-dupe,(retired),/nieuws,301,verified,Duplicate of /nl/nieuws; collapse.
/en/news/nieuws,nieuws-overzicht-dupe-en,(retired),/en/nieuws,301,verified,Duplicate of /en/nieuws; collapse.
/nl/producten/klantenservice/werken-bij-parkingyou/producten,onbekend,/werken-bij,/werken-bij,301,verified,Live path nests four unrelated segments; confirm intent before redirecting.
/nl/locaties/almere/cid=21,stad,/parkeren/almere,/parkeren/almere,301,verified,
/en/locaties/almere/cid=21,stad-en,/en/parkeren/almere,/en/parkeren/almere,301,verified,
/nl/locaties/almere,stad-zonder-cid,(retired),/parkeren/almere,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/almere,stad-zonder-cid-en,(retired),/en/parkeren/almere,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/amsterdam/cid=1,stad,/parkeren/amsterdam,/parkeren/amsterdam,301,verified,
/en/locaties/amsterdam/cid=1,stad-en,/en/parkeren/amsterdam,/en/parkeren/amsterdam,301,verified,
/nl/locaties/amsterdam,stad-zonder-cid,(retired),/parkeren/amsterdam,301,verified,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/amsterdam,stad-zonder-cid-en,(retired),/en/parkeren/amsterdam,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/regio-zuid-holland/cid=9,stad,(retired),/locaties,301,pattern,"Live container is a region, not a city; it splits into one city page per city in the new IA, so there is no single successor. Points at the location hub."
/en/locaties/regio-zuid-holland/cid=9,stad-en,(retired),/en/locaties,301,pattern,"Live container is a region, not a city; it splits into one city page per city in the new IA, so there is no single successor. Points at the location hub."
/nl/locaties/regio-zuid-holland,stad-zonder-cid,(retired),/locaties,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/regio-zuid-holland,stad-zonder-cid-en,(retired),/en/locaties,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/regio-gelderland/cid=13,stad,(retired),/locaties,301,pattern,"Live container is a region, not a city; it splits into one city page per city in the new IA, so there is no single successor. Points at the location hub."
/en/locaties/regio-gelderland/cid=13,stad-en,(retired),/en/locaties,301,pattern,"Live container is a region, not a city; it splits into one city page per city in the new IA, so there is no single successor. Points at the location hub."
/nl/locaties/regio-gelderland,stad-zonder-cid,(retired),/locaties,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/regio-gelderland,stad-zonder-cid-en,(retired),/en/locaties,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/eindhoven/cid=3,stad,/parkeren/eindhoven,/parkeren/eindhoven,301,verified,
/en/locaties/eindhoven/cid=3,stad-en,/en/parkeren/eindhoven,/en/parkeren/eindhoven,301,verified,
/nl/locaties/eindhoven,stad-zonder-cid,(retired),/parkeren/eindhoven,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/eindhoven,stad-zonder-cid-en,(retired),/en/parkeren/eindhoven,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/regio-noord-holland,stad-zonder-cid,(retired),/locaties,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/regio-noord-holland,stad-zonder-cid-en,(retired),/en/locaties,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/rotterdam/cid=5,stad,/parkeren/rotterdam,/parkeren/rotterdam,301,verified,
/en/locaties/rotterdam/cid=5,stad-en,/en/parkeren/rotterdam,/en/parkeren/rotterdam,301,verified,
/nl/locaties/rotterdam,stad-zonder-cid,(retired),/parkeren/rotterdam,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/rotterdam,stad-zonder-cid-en,(retired),/en/parkeren/rotterdam,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/tilburg/cid=7,stad,/parkeren/tilburg,/parkeren/tilburg,301,verified,
/en/locaties/tilburg/cid=7,stad-en,/en/parkeren/tilburg,/en/parkeren/tilburg,301,verified,
/nl/locaties/tilburg,stad-zonder-cid,(retired),/parkeren/tilburg,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/tilburg,stad-zonder-cid-en,(retired),/en/parkeren/tilburg,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/utrecht/cid=15,stad,/parkeren/utrecht,/parkeren/utrecht,301,verified,
/en/locaties/utrecht/cid=15,stad-en,/en/parkeren/utrecht,/en/parkeren/utrecht,301,verified,
/nl/locaties/utrecht,stad-zonder-cid,(retired),/parkeren/utrecht,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/utrecht,stad-zonder-cid-en,(retired),/en/parkeren/utrecht,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/nl/locaties/zoetermeer/cid=19,stad,/parkeren/zoetermeer,/parkeren/zoetermeer,301,verified,
/en/locaties/zoetermeer/cid=19,stad-en,/en/parkeren/zoetermeer,/en/parkeren/zoetermeer,301,verified,
/nl/locaties/zoetermeer,stad-zonder-cid,(retired),/parkeren/zoetermeer,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
/en/locaties/zoetermeer,stad-zonder-cid-en,(retired),/en/parkeren/zoetermeer,301,pattern,Bare-slug variant indexed alongside the cid variant; duplicate content today.
(none - new page),stad,/parkeren/den-haag,-,301,n/a,New city page; the live site folded Den Haag into regio-zuid-holland.
(none - new page),stad-en,/en/parkeren/den-haag,-,301,n/a,New city page; the live site folded Den Haag into regio-zuid-holland.
(none - new page),stad,/parkeren/dordrecht,-,301,n/a,New city page; the live site folded Dordrecht into regio-zuid-holland.
(none - new page),stad-en,/en/parkeren/dordrecht,-,301,n/a,New city page; the live site folded Dordrecht into regio-zuid-holland.
(none - new page),stad,/parkeren/ede,-,301,n/a,New city page; the live site folded Ede into regio-gelderland.
(none - new page),stad-en,/en/parkeren/ede,-,301,n/a,New city page; the live site folded Ede into regio-gelderland.
(none - new page),stad,/parkeren/heerhugowaard,-,301,n/a,New city page; the live site folded Heerhugowaard into regio-noord-holland.
(none - new page),stad-en,/en/parkeren/heerhugowaard,-,301,n/a,New city page; the live site folded Heerhugowaard into regio-noord-holland.
(none - new page),stad,/parkeren/nijmegen,-,301,n/a,New city page; the live site folded Nijmegen into regio-gelderland.
(none - new page),stad-en,/en/parkeren/nijmegen,-,301,n/a,New city page; the live site folded Nijmegen into regio-gelderland.
(none - new page),stad,/parkeren/rijswijk,-,301,n/a,New city page; the live site folded Rijswijk into regio-zuid-holland.
(none - new page),stad-en,/en/parkeren/rijswijk,-,301,n/a,New city page; the live site folded Rijswijk into regio-zuid-holland.
(none - new page),stad,/parkeren/schiedam,-,301,n/a,New city page; the live site folded Schiedam into regio-zuid-holland.
(none - new page),stad-en,/en/parkeren/schiedam,-,301,n/a,New city page; the live site folded Schiedam into regio-zuid-holland.
/nl/locaties/parking-p1-carlton-wtc/id=123,locatie,/parkeren/almere/p1-carlton-wtc,/parkeren/almere/p1-carlton-wtc,301,verified,Aeroparker/CMS location id 123.
/en/locaties/parking-p1-carlton-wtc/id=123,locatie-en,/en/parkeren/almere/p1-carlton-wtc,/en/parkeren/almere/p1-carlton-wtc,301,pattern,
/nl/locaties/almere/parking-p1-carlton-wtc/id=123,locatie-genest,(retired),/parkeren/almere/p1-carlton-wtc,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/almere/parking-p1-carlton-wtc/id=123,locatie-genest-en,(retired),/en/parkeren/almere/p1-carlton-wtc,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parking-p2-mandela-wtc/id=125,locatie,/parkeren/almere/p2-mandela-wtc,/parkeren/almere/p2-mandela-wtc,301,verified,Aeroparker/CMS location id 125.
/en/locaties/parking-p2-mandela-wtc/id=125,locatie-en,/en/parkeren/almere/p2-mandela-wtc,/en/parkeren/almere/p2-mandela-wtc,301,pattern,
/nl/locaties/almere/parking-p2-mandela-wtc/id=125,locatie-genest,(retired),/parkeren/almere/p2-mandela-wtc,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/almere/parking-p2-mandela-wtc/id=125,locatie-genest-en,(retired),/en/parkeren/almere/p2-mandela-wtc,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/amsterdam-parking-b2/id=67,locatie,/parkeren/amsterdam/b-amsterdam-b2,/parkeren/amsterdam/b-amsterdam-b2,301,verified,Aeroparker/CMS location id 67.
/en/locaties/amsterdam-parking-b2/id=67,locatie-en,/en/parkeren/amsterdam/b-amsterdam-b2,/en/parkeren/amsterdam/b-amsterdam-b2,301,pattern,
/nl/locaties/amsterdam/amsterdam-parking-b2/id=67,locatie-genest,(retired),/parkeren/amsterdam/b-amsterdam-b2,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/amsterdam/amsterdam-parking-b2/id=67,locatie-genest-en,(retired),/en/parkeren/amsterdam/b-amsterdam-b2,301,verified,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parking-b-amsterdam-b1/id=23,locatie,/parkeren/amsterdam/b-amsterdam-b1,/parkeren/amsterdam/b-amsterdam-b1,301,verified,Aeroparker/CMS location id 23.
/en/locaties/parking-b-amsterdam-b1/id=23,locatie-en,/en/parkeren/amsterdam/b-amsterdam-b1,/en/parkeren/amsterdam/b-amsterdam-b1,301,pattern,
/nl/locaties/amsterdam/parking-b-amsterdam-b1/id=23,locatie-genest,(retired),/parkeren/amsterdam/b-amsterdam-b1,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/amsterdam/parking-b-amsterdam-b1/id=23,locatie-genest-en,(retired),/en/parkeren/amsterdam/b-amsterdam-b1,301,verified,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parking-bos-en-lommerplantsoen/id=21,locatie,/parkeren/amsterdam/bos-en-lommerplantsoen,/parkeren/amsterdam/bos-en-lommerplantsoen,301,verified,Aeroparker/CMS location id 21.
/en/locaties/parking-bos-en-lommerplantsoen/id=21,locatie-en,/en/parkeren/amsterdam/bos-en-lommerplantsoen,/en/parkeren/amsterdam/bos-en-lommerplantsoen,301,pattern,
/nl/locaties/amsterdam/parking-bos-en-lommerplantsoen/id=21,locatie-genest,(retired),/parkeren/amsterdam/bos-en-lommerplantsoen,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/amsterdam/parking-bos-en-lommerplantsoen/id=21,locatie-genest-en,(retired),/en/parkeren/amsterdam/bos-en-lommerplantsoen,301,verified,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parking-cruquius/id=27,locatie,/parkeren/amsterdam/cruquius,/parkeren/amsterdam/cruquius,301,verified,Aeroparker/CMS location id 27.
/en/locaties/parking-cruquius/id=27,locatie-en,/en/parkeren/amsterdam/cruquius,/en/parkeren/amsterdam/cruquius,301,pattern,
/nl/locaties/amsterdam/parking-cruquius/id=27,locatie-genest,(retired),/parkeren/amsterdam/cruquius,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/amsterdam/parking-cruquius/id=27,locatie-genest-en,(retired),/en/parkeren/amsterdam/cruquius,301,verified,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parking-plantage/id=35,locatie,/parkeren/amsterdam/plantage,/parkeren/amsterdam/plantage,301,verified,Aeroparker/CMS location id 35.
/en/locaties/parking-plantage/id=35,locatie-en,/en/parkeren/amsterdam/plantage,/en/parkeren/amsterdam/plantage,301,pattern,
/nl/locaties/amsterdam/parking-plantage/id=35,locatie-genest,(retired),/parkeren/amsterdam/plantage,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/amsterdam/parking-plantage/id=35,locatie-genest-en,(retired),/en/parkeren/amsterdam/plantage,301,verified,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parking-zeeburgerkade/id=45,locatie,/parkeren/amsterdam/zeeburgerkade,/parkeren/amsterdam/zeeburgerkade,301,verified,Aeroparker/CMS location id 45.
/en/locaties/parking-zeeburgerkade/id=45,locatie-en,/en/parkeren/amsterdam/zeeburgerkade,/en/parkeren/amsterdam/zeeburgerkade,301,pattern,
/nl/locaties/amsterdam/parking-zeeburgerkade/id=45,locatie-genest,(retired),/parkeren/amsterdam/zeeburgerkade,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/amsterdam/parking-zeeburgerkade/id=45,locatie-genest-en,(retired),/en/parkeren/amsterdam/zeeburgerkade,301,verified,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parkingyou-stationsweg-ypenburg/id=57,locatie,/parkeren/den-haag/stationsweg-ypenburg,/parkeren/den-haag/stationsweg-ypenburg,301,verified,Aeroparker/CMS location id 57.
/en/locaties/parkingyou-stationsweg-ypenburg/id=57,locatie-en,/en/parkeren/den-haag/stationsweg-ypenburg,/en/parkeren/den-haag/stationsweg-ypenburg,301,pattern,
/nl/locaties/regio-zuid-holland/parkingyou-stationsweg-ypenburg/id=57,locatie-genest,(retired),/parkeren/den-haag/stationsweg-ypenburg,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/regio-zuid-holland/parkingyou-stationsweg-ypenburg/id=57,locatie-genest-en,(retired),/en/parkeren/den-haag/stationsweg-ypenburg,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parking-de-holland-/id=73,locatie,/parkeren/dordrecht/de-holland,/parkeren/dordrecht/de-holland,301,verified,Aeroparker/CMS location id 73.
/en/locaties/parking-de-holland-/id=73,locatie-en,/en/parkeren/dordrecht/de-holland,/en/parkeren/dordrecht/de-holland,301,pattern,
/nl/locaties/regio-zuid-holland/parking-de-holland-/id=73,locatie-genest,(retired),/parkeren/dordrecht/de-holland,301,verified,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/regio-zuid-holland/parking-de-holland-/id=73,locatie-genest-en,(retired),/en/parkeren/dordrecht/de-holland,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parkingyou-pathe-ede-/id=61,locatie,/parkeren/ede/pathe,/parkeren/ede/pathe,301,verified,Aeroparker/CMS location id 61.
/en/locaties/parkingyou-pathe-ede-/id=61,locatie-en,/en/parkeren/ede/pathe,/en/parkeren/ede/pathe,301,pattern,
/nl/locaties/regio-gelderland/parkingyou-pathe-ede-/id=61,locatie-genest,(retired),/parkeren/ede/pathe,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/en/locaties/regio-gelderland/parkingyou-pathe-ede-/id=61,locatie-genest-en,(retired),/en/parkeren/ede/pathe,301,pattern,Second indexed URL for the same location; collapse onto the canonical.
/nl/locaties/parking-bd7-/id=85,locatie,/parkeren/eindhoven/bd7,/parkeren/eindhoven/bd7,301,verified,Aeroparker/CMS location id 85.
